Unnamed: 0,Run,Event,PID1,Q1,E1,px1,py1,pz1,eta1,phi1,PID2,Q2,E2,px2,py2,pz2,eta2,phi2,PID3,Q3,E3,px3,py3,pz3,eta3,phi3,PID4,Q4,E4,px4,py4,pz4,eta4,phi4,mass,mass_z1,mass_z2
56670,206859,1178832,-13,1,190.845,-27.3251,41.6874,184.221,2.01819,2.15101,13,-1,27.0417,25.3744,-2.13624,9.10054,0.350185,-0.08399,-13,1,13.6648,11.8394,6.81617,0.28737,0.021034,0.522375,13,-1,11.0405,7.23597,8.18783,1.5757,0.143707,0.847034,132.228313,57.846605,12.732542
56673,206859,1178850,-13,1,46.0014,43.1479,-5.11049,15.1082,0.341068,-0.117892,13,-1,87.7674,-30.3775,11.9572,81.4699,1.64557,2.7666,13,-1,47.264,9.44392,11.4376,44.8761,1.82648,0.880584,-13,1,59.2455,-11.6133,-4.87921,57.8908,2.22991,-2.74385,133.0532,47.899757,19.443838
56675,206859,1178862,-13,1,79.0799,39.9672,-22.4789,-64.4278,-1.1409,-0.512339,13,-1,49.4451,-19.3382,37.7698,-25.3829,-0.567275,2.044,13,-1,17.955,-7.18551,6.19214,-15.2445,-1.25277,2.43031,-13,1,11.4841,4.4836,-3.84406,-9.84854,-1.28427,-0.708752,105.438481,16.00089,4.01143
56676,206859,1178879,13,-1,36.2792,-9.07727,31.2873,15.9648,0.4723,1.85317,-13,1,26.8473,-4.97709,-17.8983,-19.3816,-0.911656,-1.84202,-13,1,12.4509,8.84575,-8.07729,-3.3946,-0.279724,-0.74002,13,-1,11.8604,-2.45455,-10.9939,-3.71049,-0.323711,-1.79046,86.276575,40.961623,8.663309
56677,206859,1178881,-13,1,51.4883,17.7212,2.33539,48.286,1.71954,0.13103,-13,1,32.4887,-13.1414,0.295687,29.7106,1.55432,3.1191,13,-1,15.0138,3.22111,-10.5945,10.1383,0.82039,-1.27564,13,-1,14.1258,-4.65296,3.60085,-12.8418,-1.52246,2.48298,84.245906,53.318861,21.542399
56681,206859,1178909,-13,1,146.642,61.4911,14.2218,-132.365,-1.48629,0.227286,13,-1,68.7546,-1.20607,55.3085,-40.8252,-0.683489,1.5926,-13,1,66.2346,-44.4448,-26.2722,-41.4903,-0.735495,-2.60773,13,-1,35.4863,-1.43009,-33.9481,-10.2347,-0.296834,-1.6129,222.895342,121.057809,88.29403
56685,206859,1178965,13,-1,227.306,-27.2948,48.5549,-220.376,-2.08409,2.08291,13,-1,41.6411,31.2159,-13.3629,-24.1032,-0.660708,-0.404476,-13,1,39.0021,-25.2139,-18.957,-22.9356,-0.674702,-2.49691,-13,1,30.5529,16.9349,-6.01545,-24.7082,-1.12328,-0.341309,170.658706,89.923691,11.636188
56687,206859,1178982,13,-1,51.6206,2.63795,-37.3346,-35.5505,-0.84546,-1.50026,-13,1,58.1358,-1.98296,15.0296,-56.1243,-2.01982,1.70198,-13,1,65.963,-4.1614,13.2981,-64.4744,-2.23656,1.87408,13,-1,17.1899,1.41767,8.17198,-15.0563,-1.35785,1.39903,88.868526,36.15149,4.031622
56699,206859,1179085,-13,1,258.447,-2.63535,-54.0155,-252.726,-2.24625,-1.61955,-13,1,88.5703,26.8692,45.8968,-70.8253,-1.09764,1.04116,13,-1,34.1329,-31.4689,-9.39141,-9.30348,-0.279636,-2.85157,13,-1,18.088,-5.47838,11.1155,-13.1756,-0.925372,2.02871,198.624254,108.443595,24.736051
56703,206859,1179408,-13,1,43.6544,9.78792,-24.8324,-34.5434,-1.07488,-1.19534,13,-1,107.901,-3.08555,24.8767,-104.949,-2.13902,1.6942,-13,1,51.123,-0.125701,15.991,-48.5574,-1.82991,1.57866,13,-1,47.5712,-10.9301,10.1979,-45.1613,-1.82509,2.39083,86.77737,41.878368,6.628476
56709,206859,1179438,-13,1,65.761,-57.831,-18.7861,25.0432,0.40102,-2.8275,13,-1,41.9079,30.4102,22.8455,17.5943,0.447491,0.644297,13,-1,27.31,26.4216,-6.90288,-0.277311,-0.010155,-0.255547,-13,1,10.4206,-8.69361,0.848762,5.68141,0.61158,3.04427,136.876185,31.736713,10.600127
56715,206859,1179528,13,-1,46.6664,-14.0468,-27.773,34.772,0.961892,-2.03905,-13,1,43.8643,21.6872,14.4194,-35.2961,-1.11171,0.586766,-13,1,23.9089,-12.4868,-4.05315,19.9819,1.20694,-2.82773,13,-1,9.06221,-2.97042,-3.69283,7.72347,1.26461,-2.2482,118.353626,64.549016,4.48651
56716,206859,1179538,13,-1,111.02,-52.6616,80.3929,55.5793,0.550142,2.15072,-13,1,61.2242,45.7047,-38.8951,-12.1096,-0.200434,-0.705079,13,-1,62.0222,-41.2109,-27.7722,-37.1095,-0.690537,-2.5486,-13,1,26.65,18.4667,-13.7253,13.4465,0.555411,-0.639167,258.462584,134.244125,28.865423
56718,206859,1179562,-13,1,188.215,62.8593,13.0525,176.927,1.73828,0.204737,13,-1,32.3407,20.589,23.3694,8.71061,0.276152,0.848566,-13,1,113.059,25.5027,1.20093,-110.139,-2.16816,0.047056,13,-1,71.7152,-18.299,-11.843,68.3224,1.86014,-2.56719,367.04967,279.811334,68.959725
56723,206859,1179583,13,-1,208.467,-60.2524,12.2698,-199.193,-1.89158,2.9407,13,-1,145.054,43.6569,-7.76985,-138.11,-1.85407,-0.176131,-13,1,54.955,14.0672,-30.4664,-43.5196,-1.07655,-1.13823,-13,1,22.6523,2.11742,21.3872,7.15684,0.327138,1.47211,214.998541,109.662093,47.119061
56729,206859,1179657,13,-1,83.6423,-35.1697,-69.5183,30.4354,0.381347,-2.03916,-13,1,72.8402,25.7179,65.358,-19.3032,-0.271487,1.19591,-13,1,40.1688,39.4251,-7.31497,2.3815,0.059357,-0.183455,13,-1,63.7876,-24.0461,-6.16811,-58.7588,-1.59665,-2.89049,255.802426,108.15922,69.800332
56735,206859,1179686,-13,1,46.1504,-39.3118,18.7015,15.3194,0.345014,2.69756,13,-1,29.9219,-19.4165,-21.782,6.62203,0.225035,-2.29884,-13,1,20.8122,7.65241,-9.91667,16.6204,1.09473,-0.913569,13,-1,19.2546,5.49207,-5.97442,17.4605,1.50944,-0.827439,88.949329,48.829794,29.564359
56740,206859,1211813,13,-1,68.1926,3.42896,-62.6666,26.6714,0.41312,-1.51613,13,-1,53.5697,7.61056,19.705,49.2291,1.58238,1.20222,-13,1,66.5094,-11.3195,17.4137,63.1833,1.83169,2.14719,-13,1,72.8819,-4.92983,17.428,70.5954,2.06961,1.84646,155.37941,89.222621,15.685992
56741,206859,1211821,-13,1,80.8112,-29.616,23.736,-71.3438,-1.38852,2.46596,13,-1,34.853,21.9661,-21.165,-16.8598,-0.527859,-0.766827,13,-1,11.3017,-7.31074,5.86382,-6.31549,-0.631136,2.46558,-13,1,19.0949,-3.23205,3.99115,-18.391,-1.98774,2.25149,89.998279,33.826862,9.005845
